circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,4.694,14.354,32.697,11.101,0.828,0.007118,38.219,25.462,18161
TallyValidity,0.875,8.529,24.707,10.831,0.823,0.006744,26.406,19.366,20481
