circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,3.692,9.331,24.104,6.195,0.805,0.007116,28.601,15.533,10433
TallyValidity,0.473,4.281,14.963,5.417,0.835,0.006742,16.271,9.704,10241
