circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,3.982,10.211,27.083,6.883,0.832,0.007116,31.897,17.101,11885
TallyValidity,0.493,4.281,14.784,5.417,0.782,0.006742,16.058,9.704,10241
